,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,source_file,UIDENTSTLAE
97371,97372,5,5,15,0,2019,1,8,3,3,2,6,0,0,1,0,0,0,1,"404721,382000002080000","5761218,333000004300000",7.612291473000028,51.99344463800003,0,Unfallorte2019_LinRef.csv,
97578,97579,5,5,15,0,2019,1,17,1,3,5,3,0,0,1,0,0,0,0,"403934,401000000540000","5758094,855000004200000",7.601707500000032,51.96523427600005,0,Unfallorte2019_LinRef.csv,
97579,97580,5,5,15,0,2019,1,12,1,3,6,4,0,0,1,1,0,0,0,"405155,039198338990000","5756904,849539145800000",7.619797595000023,51.954747620000035,0,Unfallorte2019_LinRef.csv,
97615,97616,5,5,15,0,2019,1,21,7,2,9,1,2,0,1,0,0,0,0,"406556,652999999930000","5750395,200000001100000",7.641955242000051,51.89647264600006,0,Unfallorte2019_LinRef.csv,
97617,97618,5,5,15,0,2019,1,11,7,3,5,3,0,1,1,0,0,0,0,"403491,460219860080000","5755466,971006734300000",7.596000364000076,51.94153727500003,0,Unfallorte2019_LinRef.csv,
97618,97619,5,5,15,0,2019,1,11,7,3,0,7,0,0,0,1,0,0,1,"407196,708000001500000","5761114,434000000400000",7.648361092000073,51.99292991600004,0,Unfallorte2019_LinRef.csv,
97694,97695,5,5,15,0,2019,1,16,6,3,5,2,0,1,1,0,0,0,0,"403022,610000001270000","5754056,401999998800000",7.589579454000045,51.92877709100003,0,Unfallorte2019_LinRef.csv,
97695,97696,5,5,15,0,2019,1,12,6,3,2,6,0,0,1,0,0,0,0,"405961,657078851950000","5751759,770376626400000",7.632938276000061,51.90863806500005,1,Unfallorte2019_LinRef.csv,
97868,97869,5,5,15,0,2019,1,14,5,3,2,6,0,0,1,0,0,0,0,"404288,319000001070000","5759000,000000000000000",7.606604994000065,51.97343108000007,0,Unfallorte2019_LinRef.csv,
97950,97951,5,5,15,0,2019,1,17,1,3,6,2,2,0,1,1,0,0,0,"405588,217651004900000","5754354,856022210800000",7.626799533000053,51.93190081700004,1,Unfallorte2019_LinRef.csv,
97953,97954,5,5,15,0,2019,1,6,4,3,8,1,2,0,1,0,0,0,0,"409673,292928684500000","5753888,511366544300000",7.686321298000053,51.92838696500007,2,Unfallorte2019_LinRef.csv,
97954,97955,5,5,15,0,2019,1,8,4,3,1,6,0,0,1,0,0,0,0,"405961,812000000850000","5751758,468000000300000",7.63294088300006,51.90862638500005,1,Unfallorte2019_LinRef.csv,
98061,98062,5,5,15,0,2019,1,10,4,2,8,1,0,0,1,0,0,0,0,"400444,113883706740000","5759536,451883833900000",7.550503441000046,51.97757742500005,1,Unfallorte2019_LinRef.csv,
98086,98087,5,5,15,0,2019,1,8,3,3,5,2,0,1,1,0,0,0,0,"407834,427808079870000","5759154,678526898800000",7.658173013000067,51.97542082900003,0,Unfallorte2019_LinRef.csv,
98089,98090,5,5,15,0,2019,1,7,3,3,5,3,0,1,0,0,0,0,0,"406205,131602145730000","5757441,825874397500000",7.634927428000026,51.95975231800003,0,Unfallorte2019_LinRef.csv,
98092,98093,5,5,15,0,2019,1,23,7,3,2,6,2,0,1,0,0,0,0,"404852,114730876870000","5767318,876353517200000",7.612499117000027,52.048300511000036,1,Unfallorte2019_LinRef.csv,
98093,98094,5,5,15,0,2019,1,15,7,3,2,7,0,0,1,0,0,0,0,"405143,823438881900000","5754792,896649036600000",7.620217148000052,51.935762562000036,1,Unfallorte2019_LinRef.csv,
98098,98099,5,5,15,0,2019,1,14,3,3,3,2,0,1,1,0,0,0,0,"402611,471180626190000","5753834,660579593900000",7.583664651000049,51.92671222700005,0,Unfallorte2019_LinRef.csv,
98118,98119,5,5,15,0,2019,1,13,6,3,5,2,0,1,1,0,0,0,0,"407672,833683592270000","5756833,519563419700000",7.656445164000047,51.95453018100005,0,Unfallorte2019_LinRef.csv,
98119,98120,5,5,15,0,2019,1,5,6,3,4,2,2,0,1,0,0,0,0,"405151,314735622150000","5757194,166663626200000",7.619663543000058,51.95734748700005,0,Unfallorte2019_LinRef.csv,
98287,98288,5,5,15,0,2019,1,12,3,3,5,2,0,1,1,0,0,0,0,"403051,202345618980000","5758116,424258122200000",7.588850119000028,51.96527482100004,1,Unfallorte2019_LinRef.csv,
98288,98289,5,5,15,0,2019,1,7,3,2,0,7,2,1,0,0,0,0,0,"408030,875418911690000","5758303,192765528300000",7.661260360000028,51.96779975800007,2,Unfallorte2019_LinRef.csv,
98289,98290,5,5,15,0,2019,1,5,3,3,0,7,2,1,0,0,0,0,0,"408696,398148012350000","5756397,866617506400000",7.671451583000021,51.95078325800006,2,Unfallorte2019_LinRef.csv,
98290,98291,5,5,15,0,2019,1,1,3,3,0,1,2,1,0,0,0,0,0,"403161,410000001080000","5759052,005000000800000",7.590189830000043,51.97370329300003,1,Unfallorte2019_LinRef.csv,
98378,98379,5,5,15,0,2019,1,23,5,3,9,1,2,0,1,0,0,0,0,"403223,730838050130000","5754227,926708655400000",7.592455323000024,51.93035381900006,1,Unfallorte2019_LinRef.csv,
98380,98381,5,5,15,0,2019,1,17,5,2,6,4,2,0,1,1,0,0,0,"404803,569808435630000","5761704,786302417500000",7.613353042000028,51.99783113500007,1,Unfallorte2019_LinRef.csv,
98381,98382,5,5,15,0,2019,1,17,5,3,2,3,2,1,1,0,0,0,0,"403049,831267337310000","5758116,678620005000000",7.588830097000027,51.965276868000046,1,Unfallorte2019_LinRef.csv,
98385,98386,5,5,15,0,2019,1,11,5,3,2,6,0,0,1,0,0,0,0,"406533,089971972630000","5756210,976977851200000",7.640033825000046,51.94874406900004,1,Unfallorte2019_LinRef.csv,
98386,98387,5,5,15,0,2019,1,8,5,3,8,1,0,0,1,0,0,0,0,"401161,229431716730000","5765531,279136804900000",7.559211351000045,52.03158760900004,1,Unfallorte2019_LinRef.csv,
98445,98446,5,5,15,0,2019,1,9,2,2,6,4,0,0,1,1,0,0,0,"406435,054123176260000","5750795,812383228900000",7.640079808000053,51.900053179000054,1,Unfallorte2019_LinRef.csv,
98447,98448,5,5,15,0,2019,1,18,2,3,5,3,2,1,1,0,0,0,0,"404902,631000001910000","5762243,723000001200000",7.614645972000062,52.00269225000005,1,Unfallorte2019_LinRef.csv,
98450,98451,5,5,15,0,2019,1,18,2,3,6,4,2,0,1,1,0,0,0,"407179,618999999950000","5750957,166999999400000",7.650854984000034,51.90162806400008,1,Unfallorte2019_LinRef.csv,
98451,98452,5,5,15,0,2019,1,15,2,3,5,2,0,1,1,0,0,0,0,"403770,629000001590000","5754711,129999999000000",7.600271859000031,51.934791853000036,1,Unfallorte2019_LinRef.csv,
98454,98455,5,5,15,0,2019,1,12,2,3,5,3,0,0,1,0,0,0,0,"409414,776395914140000","5752338,541637605100000",7.682970438000041,51.914412740000046,1,Unfallorte2019_LinRef.csv,
98536,98537,5,5,15,0,2019,1,14,5,3,9,1,0,0,1,0,0,0,1,"400791,730392460710000","5753252,291181540100000",7.55737672600003,51.92115643000005,1,Unfallorte2019_LinRef.csv,
98590,98591,5,5,15,0,2019,1,21,4,2,3,6,2,1,0,0,0,0,0,"406937,496121435430000","5757773,587112654000000",7.645492999000055,51.962857417000066,2,Unfallorte2019_LinRef.csv,
98591,98592,5,5,15,0,2019,1,16,4,3,5,3,0,1,0,0,0,1,0,"407044,952796001920000","5757868,436929658100000",7.647030866000023,51.963727953000046,1,Unfallorte2019_LinRef.csv,
98593,98594,5,5,15,0,2019,1,12,2,3,2,6,0,0,1,0,0,0,0,"401974,014287280850000","5747867,677347641400000",7.576094002000048,51.87296712600005,1,Unfallorte2019_LinRef.csv,
98623,98624,5,5,15,0,2019,2,15,2,3,2,6,0,0,1,0,0,0,0,"404839,828784200360000","5759092,258430017200000",7.614605889000075,51.97435504200007,0,Unfallorte2019_LinRef.csv,
98712,98713,5,5,15,0,2019,2,7,2,3,8,1,1,0,1,0,0,0,0,"403710,474261239170000","5754422,984445190100000",7.599477795000041,51.93219148900005,1,Unfallorte2019_LinRef.csv,
98713,98714,5,5,15,0,2019,2,6,2,3,8,1,2,0,1,0,0,0,0,"401880,860786263830000","5749654,398442314900000",7.574233290000052,51.88901043100003,1,Unfallorte2019_LinRef.csv,
98723,98724,5,5,15,0,2019,2,6,4,3,4,6,2,0,1,0,0,0,0,"404990,377009669320000","5763586,452698156200000",7.615551381000046,52.01477615600004,0,Unfallorte2019_LinRef.csv,
98725,98726,5,5,15,0,2019,2,7,4,3,5,2,2,0,1,0,1,0,0,"398635,140209839680000","5758007,796685792500000",7.524626191000039,51.96351079400006,0,Unfallorte2019_LinRef.csv,
