vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Ostmarkstraße,80,mi,29.03.2017,17:05,5,,o,,,,,2,,,,,,,,2,,,46,coe,44,waf,,681,,14,,,,,,69,,,,,,,,
Sentmaringer Weg,34,di,28.03.2017,17:15,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,du,,501,,14,,,,,,67,,,,,,,,
Sternstraße,Heisstraße,do,23.03.2017,08:05,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,39,,,,,,,,
Nottulner Landweg,Parkplatz Rewe,mi,29.03.2017,11:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,44,,,,,,,,
Theißingstraße,17,mi,29.03.2017,11:45,5,,o,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,651,,14,,,,,,82,,,,,,,,
Schorlemer Straße,Engelstraße,mi,29.03.2017,08:10,5,,o,,,,,2,,,,,,,1,,1,,21,ms,33,ms,,651,,14,,,,,,45,,,,,,,,
Kappenberger Damm,59,mi,29.03.2017,13:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,601,,14,,,,,,30,,,,,,,,
Eifelstraße,51,mi,29.03.2017,13:50,5,,o,,,,,2,,,,,,,2,,,,21,bn,21,ms,,711,,36,,,,,,25,,,,,,,,
Wichernstraße,33,mi,29.03.2017,14:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,61,,,,,,,,
Horstmarer Landweg,Höhe KGA,di,28.03.2017,07:00,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,501,,14,,,,,,39,,,,,,,,
Domagstraße,61,mi,29.03.2017,12:10,5,,z,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,44,,,,,,?,,,,,,,,
Potstiege,3,mi,29.03.2017,08:05,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,wes,,521,,14,,,,,,43,,,,,,,,
Sebastianstraße,1,mi,29.03.2017,08:33,5,,m,,,,,2,,,,,,,2,,,,21,std,21,ms,,561,,37,,,,,,18,,,,,,,,
Sudmühlenstraße,Im Sundern,mi,29.03.2017,20:35,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,55,,,,,,,,
Schloßplatz,Parkplatz,mi,29.03.2017,13:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,703,,14,,,,,,35,,,,,,,,
Heekweg,Stadtlohnweg,di,28.03.2017,16:22,5,,m,,,,,1,,,,,,,,,1,,33,waf,,,,101,,14,49,,,,,59,,,,,,,,
Hermannstraße,48,mi,29.03.2017,09:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,711,,36,,,,,,48,,,,,,,,
Hammer Straße,169,mi,29.03.2017,12:05,5,,m,,,,,2,,,,,,,2,,,,21,su,21,coe,,502,,14,,,,,,70,,,,,,,,
Eisenbahnstraße,250m vor HBF,di,28.03.2017,07:20,5,,m,,,,,2,,,,,,,1,1,,,21,clp,40,ms,,631,,26,,,,,,78,,,,,,,,
Dahlweg,35,mi,29.03.2017,19:20,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,702,,14,,,,,,32,,,,,,,,
Friedrich-Ebert-Straße,113,mi,29.03.2017,15:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,os,,303,,37,,,,,,41,,,,,,,,
Kinderhauser Straße,109,mi,29.03.2017,15:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,st,,521,,14,,,,,,39,,,,,,,,
Austermannstraße,Horstmarer Landweg,do,30.03.2017,17:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,kle,,621,,14,,,,,,39,,,,,,,,
Weseler Straße,Mersmannsstiege,do,30.03.2017,17:20,5,,z,,,,,2,,,,,,,1,1,,,51,ms,21,waf,,651,,14,,,,,,71,,,,,,,,
Mauritzstraße,27,do,30.03.2017,14:50,5,,a,,,,,2,,,,,,,2,,,,21,cux,21,ms,,711,,36,,,,,,61,,,,,,,,
Handorfer Straße,Warendorfer Straße,mo,27.03.2017,15:30,5,,z,,,,,2,,,,,,,1,1,,,44,dh,21,ms,,651,,14,,,,,,60,,,,,,,,
Kinderhauser Straße,186,do,30.03.2017,07:55,5,,o,,,,,2,,,,,,,1,,,1,22,ms,21,ms,,501,,14,,,,,,45,,,,,,,,
Wilhelmstraße,55,do,30.03.2017,17:43,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,ms,,681,,14,,,,,,87,,,,,,,,
Dorbaumstraße,4,do,30.03.2017,15:15,5,,m,,,,,2,,,,,,,1,1,,,21,ms,46,st,,501,,14,,,,,,89,,,,,,,,
Hanseller Straße,290,do,30.03.2017,05:39,5,,,o,,,,1,,,,,,,1,,,,21,nb,,,,751,,0,,86,,2,,32,,,,,,,,
Schiffahrter Damm,Höhe Gut Havichhorst,do,30.03.2017,21:45,5,,,o,,,,1,,,,,,,1,,,,21,te,,,,751,,0,,86,,2,,60,,,,,,,,
B 51,Auffahrt Wolbecker Straße,do,30.03.2017,05:55,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,coe,,305,,29,,,,2,,52,,,,,,,,
Friesenring,70a,do,30.03.2017,12:55,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,ms,,611,,14,,,,,,52,,,,,,,,
Grevener Straße,182 / Tiefgarage,do,30.03.2017,08:50,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,49,,,,,,28,,,,,,,,
Schorlemer Straße,6,do,30.03.2017,21:53,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,2,,26,,,,,,,,
Steinfurter Straße,124,do,30.03.2017,17:30,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,se,,631,,26,,,,,,43,,,,,,,,
Holsteiner Straße,Schleswiger Straße,do,30.03.2017,17:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,20,,,,,,,,
Kardinal-von-Galen-Ring,Parkplatz Mövenpick,do,30.03.2017,19:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,mai,,703,,36,,,,1,,44,,,,,,,,
Vossgasse,Neubrückenstraße,do,30.03.2017,13:04,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,66,,,,,,,,
Alter Postweg,Weberborg,do,30.03.2017,12:30,5,,,o,,,,2,,,,,,,1,1,,,44,ms,21,ms,,681,,14,,,,,,70,,,,,,,,
B 51,500m v. Wolbecker Str. FR BAB,do,30.03.2017,06:40,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,0,,86,,,,33,,Stadt,,,,,,
Echelmeyerstraße,Mecklenbecker Straße,do,30.03.2017,18:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,711,,36,,,,,,33,,,,,,,,
Freckenhorster Straße,200m v. Münsterstraße FR MS,fr,31.03.2017,01:40,5,,,o,,,,1,,,,,,,1,,,,21,lh,,,,751,,0,,86,,2,,73,,,,,,,,
Hötenweg,An den Loddenbüschen,do,30.03.2017,16:09,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,gt,,623,,14,,,,,,23,,,,,,,,
Korduanenstraße,Parkplatz,do,30.03.2017,11:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,65,,,,,,,,
Hansaring,38,do,30.03.2017,11:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,572,,36,,,,,,76,,,,,,,,
Goebenstraße,5,do,02.02.2017,09:50,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,501,,49,,,,,,F,,,702000-007594-17/5,,,,,
Hoher Heckenweg,239,do,09.03.2017,18:18,4,,,,,,,2,,,,,,,2,,,,21,ms,21,bor,,699,,18,,,,2/3,,39,,,702000-012834-17/4,,,,,
Studtstraße,63,fr,17.02.2017,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-009505-17/1,,,,,
kaiser-Wilhelm-Ring,14,so,19.02.2017,05:20,3,,,,,,1,2,,2,n/n,,,,,,,,71,,71,,,651,01,49,,,,2/3,,30,22,1.88 °/oo,702000-009090-17/5,,,,,
Düesbergweg,97a,di,14.02.2017,21:00,5,X,,,,,,2,,,,,,,2,,,,21,so,21,ms,,599,,44,,,,2/3,,28,,,702000-008305-17/4,,,,,
Wolbecker Straße,34,mi,22.03.2017,16:30,5,X,,,,,,2,,1,F,,,,1,,,,71,,21,hol,,799,,49,,,,,,F,,,702000-017552-17/7,,,,,
Kapitelstraße,,do,16.03.2017,08:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,799,,49,,,,,,F,,,702000-014105-17/2,,,,,
Von-Stauffenberg-Straße,85,fr,17.03.2017,22:45,5,X,,,,,,2,,1,F,,,,1,,,,71,,21,ms,,799,,49,,,,2/3,,F,,,702000-014389-17/0,,,,,
Holtkamp,2,do,16.02.2017,12:40,3,X,,,,,1,2,,1,n,,,,1,,,,21,ms,72,,,323,,49,,,,,,F,76,,702000-008705-17/2,,,,,
Wasserstraße,Parkplatz,mi,29.03.2017,09:45,5,X,,,,,,2,,,,,,,1,,,1,92,,21,bor,,703,,49,,,,,,F,,,702000-016777-17/5,,,,,
Idenbrockplatz,Parkplatz,do,23.03.2017,18:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-015877-17/4,,,,,
Bergiusstraße,8,fr,24.03.2017,15:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,kus,,703,,49,,,,,,F,,,702000-015891-17/2,,,,,
Steinfurter Straße,Austermannstraße,do,16.02.2017,12:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,coe,,712,,36,,,,,,55,,,702000-008742-17/9,,,,,
Anton-Bruchhausen-Straße,ggü. Finanzamt,mi,01.03.2017,11:25,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,te,,101,,49,,,,,1,44,,,702000-011124-17/6,,,,,
Ludwig-Wolker-Straße,25,di,14.03.2017,10:40,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,222,,35,,,,,,50,60,,702000-013560-17/8,,,,,
Manfred-von-Richthofen-Straße,19,sa,18.02.2017,23:57,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,715,,36,,,,2/3,,75,,,702000-009074-17/9,,,,,
Hansaring,51,fr,31.03.2017,20:35,3,,,,,,1,2,,2,j/j,,,,,,,,71,,71,,,651,,49,,,,2/3,,14,13,,702000-017328-17/4,,,,,
Am Krug,Parkplatz Netto,mo,06.03.2017,17:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,st,,703,,49,,,,,1,46,,,702000-012163-17/4,,,,,
Mindener Straße,32,di,28.03.2017,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,rv,,799,,49,,,,,,F,,,702000-017094-17/9,,,,,
Königsberger Straße,7,mo,20.02.2017,21:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,45,,,,,,F,,,702000-009612-17/7,,,,,
Willy-Brandt-Weg,1,mi,15.03.2017,10:35,5,X,,,,,,2,,,,,,,1,1,,,46,su,21,do,,711,,36,,,,,,56,,,702000-013882-17/4,,,,,
Hammer Straße,Siemensstraße,so,26.03.2017,14:00,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,231,,14,,,,,,F,,,702000-016066-17/1,,,,,
Salzstraße,47,mo,27.03.2017,12:45,5,X,,,,,,2,,,,,,,1,,,1,92,,21,st,,703,,49,,,,,,F,,,702000-016392-17/4,,,,,
Corrensstraße,25,di,21.03.2017,15:50,5,X,,,,,,2,,1,F,,,,1,,,,71,,21,h,,371,,37,,,,,,F,,,702000-015041-17/1,,,,,
Dülmener Straße,Osthofstraße,fr,31.03.2017,16:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,28,,,,,,67,,,,,,,,
Meesenstiege,Hünenburg,fr,31.03.2017,10:00,5,,a,,,,,2,,,,,,,1,1,,,21,ms,44,bn,,303,,28,,,,,,77,,,,,,,,
An den Loddenbüschen,Höltenweg,fr,31.03.2017,07:45,5,,z,,,,,2,,,,,,,1,1,,,40,waf,21,st,,231,,14,,,,,,55,,,,,,,,
Hohenzollernring,36a,fr,31.03.2017,15:10,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,29,,,,,,,,
Aegidiistraße,Grüne Gasse,fr,31.03.2017,15:45,5,,a,,,,,2,,,,,,1,1,,,,21,bor,11,ms,,302,,28,,,,,,25,,,,,,,,
Weseler Straße,Welsingheide,fr,31.03.2017,05:45,5,,a,,,,,2,,,,,,,2,,,,21,lh,21,ac,,631,,20,,,,2,,34,,,,,,,,
Warendorfer Straße,k.v. Lützowstraße FR einw.,fr,31.03.2017,10:45,5,,m,,,,,2,,,,,,,1,,,1,21,gt,59,gt,,652,,21,,,,,,64,,,,,,,,
Körnerstraße,Scharnhorststraße,fr,31.03.2017,08:20,5,,m,,,,,2,,,,,,,1,,1,,31,ms,21,ms,,592,,14,,,,,,65,,,,,,,,
Wolbecker Straße,Hansaring,fr,31.03.2017,06:55,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,st,,211,,28,,,,1,,53,,,,,,,,
Rittertstraße,9,fr,31.03.2017,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,77,,,,,,,,
Schiffahrter Damm,Sudmühlenstraße,fr,31.03.2017,13:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,44,,,,,,,,
Dunantstraße,Parkhaus,fr,31.03.2017,11:30,5,,m,,,,,2,,,,,,,2,,,,21,el,21,waf,,703,,36,,,,,,26,,,,,,,,
Hörstertstraße,Promenade,fr,31.03.2017,12:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,623,,14,,,,,,79,,,,,,,,
Alter Steinweg,29,fr,31.03.2017,21:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,,46,,,,,,,,
Westfalenstraße,140,fr,31.03.2017,10:15,5,,m,,,,,2,,,,,,,1,1,,,40,ms,25,ms,,601,,14,,,,,,28,,,,,,,,
Hammer Straße,Geiststraße,fr,31.03.2017,17:24,5,,m,,,,,2,,,,,,,2,,,,21,mkk,21,waf,,601,,14,,,,,,54,,,,,,,,
Goebenstraße,ggü. 35,fr,31.03.2017,15:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,501,,14,,,,,,77,,,,,,,,
Industrieweg,Industrieweg,di,28.03.2017,08:55,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,601,,14,,,,,,30,,,,,,,,
Von-Kluck-Straße,Parkplatz ProVital,mi,29.03.2017,18:28,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,un,,703,,14,,,,,,55,,,,,,,,
Höltenweg,Höltenweg,fr,31.03.2017,10:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,en,,321,,35,,,,,,76,,,,,,,,
Von-Esmarch-Straße,Rishon-Le-Zion-Ring,fr,31.03.2017,16:05,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,40,,,,,,,,
York-Ring,Steinfurter Straße,fr,31.03.2017,13:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,k,,641,,26,,,,,,37,,,,,,,,
Weseler Straße,Bismarckallee,fr,31.03.2017,14:25,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,waf,,651,,14,,,,,,55,,,,,,,,
Roxeler Straße,416,fr,31.03.2017,16:15,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,703,,36,,,,,,53,,,,,,,,
Roxeler Straße,416,fr,31.03.2017,16:12,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,40,,,,,,,,
Cheruskerring,Langemarkstraße,fr,31.03.2017,15:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,551,,37,,,,,,62,,,,,,,,
Südstraße,65,fr,31.03.2017,14:45,5,,m,,,,,2,,,,,,,2,,,,21,e,21,ms,,591,,37,,,,,,49,,,,,,,,
Aegidiistraße,Parkhaus,fr,31.03.2017,14:20,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,st,,703,,36,,,,,,29,,,,,,,,
Industrieweg,Raiffeisentankstelle,do,30.03.2017,16:05,5,,m,,,,,2,,,,,,,1,,,1,21,waf,22,st,,711,,36,,,,,,21,,,,,,,,
Leonardo Campus,3,fr,31.03.2017,08:45,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,48,,,,,,,,
Hammer Straße,385,fr,31.03.2017,15:40,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,lh,,703,,36,,,,,,33,,,,,,,,
Weseler Straße,212,fr,31.03.2017,18:15,5,,o,,,,,2,,,,,,,1,1,,,51,ms,21,ms,,712,,36,,,,,,53,,,,,,,,
Warendorfer Straße,Parkplatz Rewe,fr,31.03.2017,17:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,58,,,,,,,,
Hohenzollernring,40,so,26.03.2017,17:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,30,,,,,,,,
Andreas-Hofer-Straße,72,fr,31.03.2017,13:30,5,,m,,,,,2,,,,,,,2,,,,21,en,21,ms,,501,,14,,,,,,27,,,,,,,,
August-Macke-Weg,48,fr,31.03.2017,10:55,5,,m,,,,,2,,,,,,,1,,,1,59,ms,21,waf,,711,,36,,,,,,56,,,,,,,,
Marientalstraße,70,do,30.03.2017,18:00,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,waf,,502,,14,,,,,,7,,,,,,,,
Hittorfstraße,38,so,26.03.2017,16:20,5,,o,,,,,2,,,,,,,2,,,,21,me,21,ms,,521,,14,,,,,,25,,,,,,,,
Bonhoefferstraße,51,fr,31.03.2017,15:40,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,501,,14,,,,,,23,,,,,,,,
Körnerstraße,15,fr,31.03.2017,19:15,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,701,,14,,,,,,35,,,,,,,,
Angelmodder Weg,Luderikweg,fr,31.03.2017,13:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,35,,,,,,,,
Kappenberger Damm,148,fr,31.03.2017,15:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,37,,,,,,,,
Hittorfstraße,14,di,28.03.2017,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-017247-17/5,,,,,
Killingstraße,25,fr,17.03.2017,16:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,F,,,706000-007821-17/3,,,,,
Heroldstraße,"km 2,899",fr,10.03.2017,09:20,5,X,,,,,,2,,,,,,,,2,,,44,,51,un,,681,,14,,,,,,F,,,702000-012888-17/5,,,,,
Hammer Straße,Goebenstraße,mi,08.03.2017,10:20,2,,,,,1,,2,,,,,,,1,1,,,21,ms,44,msp,,599,04,14,,,,,,80,30,,702000-012468-17/5,,,,,
Herdingstraße,13,di,07.03.2017,12:00,5,X,,,,,,2,,,,,,,2,,,,21,gm,21,ms,,701,,14,,,,,1,67,,,702000-012611-17/1,,,,,
Erikaweg,13,mi,08.03.2017,11:03,5,X,,,,,,1,,,,,,,1,,,,21,hh,,,,703,,14,,,,,,57,,,702000-013208-17/8,,,,,
Hohenzollernring,72,do,23.02.2017,13:35,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,1,F,,,702000-010043-17/4,,,,,
Hermannstraße,,mo,27.03.2017,20:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-017225-17/5,,,,,
Kettelerstraße,10,mo,20.03.2017,08:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,1,F,,,702000-014660-17/3,,,,,
Rüschhausweg,Hunnebeckweg,fr,17.03.2017,06:58,3,,,,,,1,2,,,,,,,2,,,,21,ma,21,coe,,601,,21,,,,,,32,58,,702000-014203-17/6,,,,,
Altumstraße,13,so,26.03.2017,17:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,,F,,,702000-016378-17/6,,,,,
Albert-Schweitzer-Campus,1,mi,15.02.2017,12:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,st,,701,,49,,,,,,22,,,702000-008548-17/9,,,,,
Engelstraße,49,do,09.03.2017,19:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,bs,,703,,49,,,,,,F,,,702000-017787-17/9,,,,,
Dorotheenstraße,3,mi,01.03.2017,17:00,5,X,,,,,,2,,,,,,,2,,,,21,,21,waf,,594,,49,,,,,,F,,,702000-012169-17/8,,,,,
Warendorfer Straße,189,sa,25.02.2017,12:30,3,,,,,,1,2,1,,,,,,1,,,,21,e,81,,,571,,14,,,,,,58,54,,702000-010395-17/3,,,,,
Ostmarkstraße,Beckhofstraße,mo,13.02.2017,16:35,3,,,,,,1,3,,,,,,,3,,,,21,ms,21,ms,,302,,28,49,,,,,57,82,,702000-008081-17/0,,,,,
Melchersstraße,68,di,07.02.2017,21:20,5,X,,,,,,2,,,,,,,2,,,,21,coe,21,ms,,701,,14,,,,,1,37,,,702000-007220-17/6,,,,,
Warendorfer Straße,Lützowstraße,mi,29.03.2017,16:33,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,799,,49,,,,,,17,,,702000-016866-17/7,,,,,
Idenbrockplatz,Parkplatz,mo,13.03.2017,10:25,3,X,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,703,,49,,,,,,84,68,,702000-014567-17/4,,,,,
Hohenzollernring,Manfred-von-Richthofen-Straße,so,02.04.2017,11:50,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,321,,28,,,,,,66,42,,702000-017478-17/1,,,,,
Grevener Straße,Dorpatweg,sa,18.03.2017,15:10,2,,,,,1,,2,1,,,,,,1,,,,21,ms,81,,,249,,31,40,,,,1,56,84,,702000-014428-17/7,,,,,
Alter Steinweg,Parkhaus,sa,18.03.2017,10:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,14,,,,,,67,,,702000-014414-17/7,,,,,
Westfalenstraße,139,mi,01.02.2017,10:32,5,X,,,,,,2,,,,,,,1,1,,,21,ms,40,bor,,699,,49,,,,,,61,,,702000-006027-17/2,,,,,
Warendorfer Straße,Piusallee,fr,03.03.2017,16:45,3,,,,,,1,2,,,,,,,2,,,,21,ms,21,ms,,211,,35,,,,,,51,42,,702000-011734-17/9,,,,,
Delpstraße,Höhe Aaseemarkt,sa,01.04.2017,13:00,5,,o,,,,,2,,,,,,,2,,,,21,m,21,ms,,571,,36,,,,,,20,,,,,,,,
Schiffahrter Damm,Parkplatz Hornbach,sa,01.04.2017,16:10,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,si,,703,,36,,,,,,36,,,,,,,,
Alter Steinweg,Parkhaus,sa,01.04.2017,10:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,,51,,,,,,,,
Berliner Platz,Höhe Hbf,sa,01.04.2017,14:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,21,,,,,,,,
Am Schütthook,1,mo,03.04.2017,18:10,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,,18,,,,,,,,
Theodor-Scheiwe-Straße,Parkplatz,do,30.03.2017,16:15,5,,a,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,27,,,,,,55,,,,,,,,
Ludgeriplatz,Moltkestraße,di,21.03.2017,15:10,5,,m,,,,,2,,,,,,,2,,,,21,un,21,ac,,631,,26,,,,,,55,,,,,,,,
Altenberger Straße,Bushalte Hägerstraße,fr,31.03.2017,13:50,5,,,m,,,,3,,,,,,,3,,,,21,ms,21,waf,,652,,14,,,,,,22,,,,,,,,
Borkstraße,2,sa,04.02.2017,13:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,49,,,,,,19,,,702000-006685-17/2,,,,,
Kanalstraße,Bröderichweg,do,09.03.2017,11:40,3,,,,,,1,2,,,,,1,,1,,,,01,,21,st,,211,,35,,,,,,27,63,,702000-012748-17/9,,,,,
Siemensstraße,Robert-Bosch-Straße,do,23.02.2017,16:10,3,,,,,,1,3,2,,,,,,1,,,,21,st,81,,,411,,42,,,,,1,31,3,,702000-010075-17/5,,,,,
Roxeler Straße,349,do,23.03.2017,16:45,3,,,,,,1,2,,,,,,,2,,,,21,ms,21,lün,,611,,14,,,,,,21,29,,702000-015614-17/7,,,,,
Idenbrockplatz,Parkplatz Aldi,do,30.03.2017,10:40,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-017033-17/4,,,,,
Am Dill,61,mi,08.03.2017,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-012818-17/8,,,,,
Handorfer Straße,1,fr,24.03.2017,15:45,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,229,,37,,,,,,67,70,,702000-015900-17/6,,,,,
Promenade,Salzstraße,so,12.03.2017,00:45,3,,,,,,1,2,,2,n/n,,,,,,,,71,,71,,,639,,26,,,,2,,30,24,,702000-013183-17/9,,,,,
Nevinghoff,12,fr,24.02.2017,12:40,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,st,,703,,49,,,,,1,F,,,709000-009598-17/0,,,,,
Metzer Straße,62,mo,06.03.2017,19:00,2,,,,,1,,2,1,1,j,,,,,,,,81,,71,,,421,,63,,,,2/3,1,56,53,,702000-012165-17/2,,,,,
Wolbecker Straße,44,do,16.02.2017,14:30,5,X,,,,,,2,,,,,,,1,1,,,44,ms,21,os,,703,,49,,,,,,37,,,702000-008976-17/2,,,,,
Hammer Straße,Burgstraße,di,21.02.2017,19:10,5,,a,,,,,3,,1,n,,,,1,,,1,21,ms,13,ms,,211,,35,,,,2/3,,33,24,,702000-009885-17/5,,,,,
Bismarckallee,47,fr,31.03.2017,09:55,3,,,,,,2,2,,2,n/n,,,,,,,,71,,71,,,651,,14,,,,,,56,38,,702000-017250-17/3,,,,,
Patronatsstraße,17,mo,20.03.2017,18:08,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,un,,681,,24,,,,1,,61,,,702000-014752-17/2,,,,,
Aegidiistraße,49,di,04.04.2017,16:50,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,581,,45,,,,,,35,70,,702000-017954-17/3,,,,,
Promenade,Am Kanonengraben,mi,22.03.2017,17:20,3,,,,,,1,2,,2,j/n,,,,,,,,72,,71,,,202,,35,,,,,,51,35,,702000-015393-17/0,,,,,
Geisbergweg,8,mi,15.03.2017,20:00,2,,,,,1,,2,1,1,n,,,,,,,,71,,81,,,799,,42,,,,2,,20,76,,702000-013935-17/8,,,,,
Theodor-Scheiwe-Straße,2,sa,11.03.2017,11:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-013096-17/5,,,,,
