datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190201,1215,G,,Geringhoffstraße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190206,2110,G,,Bäckergasse,,1,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Unfall anderer Art,Sonstiger Unfall (SO),0,PKW,49,,,
20190211,1445,G,,An der Kleimannbrücke,,2,0,0,0,1,0,0,0,30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,49,PKW,,
20190212,830,L,L885,Osttor,Immenkamp,1,0,0,0,1,0,0,0,50,1,0,0,0,0,0,0,0,5,Unfall anderer Art,Fahrunfall (F),0,Sonstige,49,,,
20190212,1500,B,B51,Westfalenstraße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,14,PKW,,
20190216,1340,G,,Spiekeroogweg,,2,0,0,0,1,0,0,0,Z30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190218,740,G,,Auf der Horst,,2,0,0,0,1,0,0,0,Z30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,14,PKW,,
20190226,20,L,L885,Osttor,,2,0,1,0,1,0,0,0,,1,0,0,1,0,0,0,0,2,Zusammenstoss mit entgegenkommendem Fahrzeug,Unfall im Längsverkehr (LV),1,Fahrrad,50,Fahrrad,1,
20190226,1615,G,,Grevener Straße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,49,PKW,,
20190226,1200,G,,Kanalpromenade,,2,0,0,1,1,0,0,0,Z30,0,0,1,1,0,0,0,0,3,Unfall anderer Art,Sonstiger Unfall (SO),0,Fußgänger,69,Fahrrad,,
