vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Fresnostraße,16,di,01.01.2018,20:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,502,,49,,,,,,F,,,702000-001324-18/3
Wilkinghege,55,fr,05.01.2018,10:25,3,,,,,,1,2,,,,,,,2,,,,21,coe,21,ms,,681,,13,73,,,,1,54,73,,702000-000848-18/8
Catharina-Müller-Straße,Gasselstiege,mi,03.01.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001367-18/4
Robert-Bosch-Straße,2,mi,03.01.2018,19:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,2/3,,F,,,702000-000534-18/5
Friedrich-Ebert-Straße,122,di,02.01.2018,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,703,,49,,,,,,F,,,702000-001021-18/0
Burgstraße,16a,sa,06.01.2018,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,hsk,,701,,49,,,,,,F,,,702000-001106-18/5
Warendorfer Straße,171,mi,03.01.2018,06:45,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,633,,26,,,,2/3,,F,,,702000-000380-18/0
Turmstraße,32,di,02.01.2018,21:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,b,,799,,49,,,,,,F,,,702000-001013-18/7
Heisenbergstraße,15,do,04.01.2018,18:10,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,702000-000744-18/0
Grevener Straße,York-Ring,di,02.01.2018,15:50,2,X,,,,1,,2,,1,n,,,,1,,,,21,,71,,,232,,34,,,,,1,F,32,,702000-000294-18/5
Am Berg Fidel,51,do,04.01.2018,18:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,702,,36,49,,,2/3,1,F,,,702000-000851-18/6
Westfalenstraße,Friedhofstraße,mi,03.01.2018,20:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,31,,,,2/3,1,55,,,702000-000538-18/1
An der Hansalinie,Haltestelle Linie 15,fr,05.01.2018,17:00,5,,z,,,,,2,,,,,,,1,,1,,33,st,21,coe,,551,,37,,,,1,,49,,,
Westfalenstraße,Amelsbürener Straße,sa,06.01.2018,14:50,5,,a,,,,,2,,1,n,,,,,1,,,51,sk,71,,,241,,34,,,,,1,40,,,
Nottulner Landweg,Oberort,fr,05.01.2018,16:40,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,boh,,302,,28,,,,2,1,51,,,
Elisabeth-Ney-Straße,18,sa,06.01.2018,18:50,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,lp,,711,,36,,,,2,,18,,,
Neutor,LSA Schloßplatz,fr,05.01.2018,11:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,su,,641,,26,,,,,1,24,,,
Ludgeriplatz,Schorlemerstraße,sa,06.01.2018,10:25,5,,z,,,,,2,,,,,,,2,,,,21,os,21,ms,,252,,14,,,,,,64,,,
Weseler Straße,B51 FR BAB,fr,05.01.2018,15:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,82,,,
Friedensstraße,ggü. 29,do,04.01.2018,08:15,5,,z,,,,,2,,,,,,,1,1,,,44,me,21,coe,,501,,14,,,,2/3,1,45,,,
Schreiberstraße,ggü. 2,do,04.01.2018,10:05,5,,z,,,,,2,,,,,,,1,1,,,44,st,21,bf,,501,,14,,,,,,57,,,
Wulfertstraße,Pantaleonsplatz,do,04.01.2018,15:10,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,67,,,
Reinerskamp,1,mo,08.01.2018,10:25,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,ms,,502,,14,,,,,,58,,,
Holtmannsweg,Zum Rieselfeld,mo,08.01.2018,20:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2/3,,29,,,
Inselbogen,Weseler Straße,do,04.01.2018,15:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,39,,,
Hafenweg,Höhe Fa. HarleyDavidson,fr,05.01.2018,04:00,5,,z,,,,,2,,1,P,,,,1,,,,21,ms,71,,,712,,36,,,,2,,26,,,
Marktallee,49,do,04.01.2018,20:20,5,,z,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,501,,14,,,,2,1,31,,,
Steinfurter Straße,Austermannstraße,fr,05.01.2018,17:16,5,,m,,,,,2,,,,,,,2,,,,21,lip,21,ms,,623,,14,,,,2,,49,,,
An der Germaniabrauerei,6,fr,05.01.2018,09:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,,,65,,,
Blücherstraße,14,do,04.01.2018,23:00,5,,o,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,2,1,24,,,
Neutor,Münzstraße,fr,05.01.2018,21:30,5,,m,,,,,2,,,,,,,2,,,,21,el,21,lh,,623,,14,,,,2,1,24,,,
Hoher Heckenweg,116,sa,06.01.2018,20:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,2/3,,21,,Stadt,
Coerdestraße,Hoyastraße,sa,06.01.2018,20:01,5,,m,,,,,2,,,,,,,2,,,,21,ha,21,ms,,501,,14,,,,2/3,,74,,,
Albersloher Weg,Schlesienstraße,fr,05.01.2018,18:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,623,,14,,,,2,,26,,,
Hoffmann-Von-Fallersleben-Weg,53,sa,06.01.2018,12:50,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,,42,,,
Loddenheide,5,sa,06.01.2018,17:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,rz,,703,,14,,,,2,,59,,,
Nottebrock,Wittlerheide,sa,06.01.2018,19:40,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,30,,,
Mauritzstraße,Eisenbahnstraße,so,07.01.2018,19:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2,,43,,,
Grevener Straße,69,fr,05.01.2018,15:39,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,326,,14,,,,,,67,,,
Hansaring,45,sa,06.01.2018,13:20,5,,o,,,,,2,,,,,,,2,,,,21,eun,21,waf,,601,,14,,,,,,39,,,
Schlossplatz,Gerichtsstraße,sa,06.01.2018,14:05,5,,o,,,,,2,,,,,,,2,,,,21,te,21,ms,,623,,14,,,,,,37,,,
Admiral-Spee-Straße,Gorch-Fock-Straße,mo,08.01.2018,03:40,5,,m,,,,,2,,,,,,,1,1,,,51,mi,21,ms,,501,,14,,,,,,69,,,
Waldeyerstraße,49,fr,05.01.2018,11:45,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,501,,14,,,,,1,37,,,
Schmüllingstraße,42,fr,05.01.2018,10:45,5,,o,,,,,1,,,,,,,1,,,,44,coe,,,,101,,14,,,,,1,33,,Remondis,
Warendorfer Straße,Stiftsstraße,sa,06.01.2018,16:10,5,,m,,,,,2,,,,,1,,1,,,,01,,21,ms,,621,,14,,,,1/3,,29,,,
Von-Vincke-Straße,Salzstraße,so,07.01.2018,20:10,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,coe,,631,,26,,,,2/3,,63,,,
Steinfurter Straße,11,sa,06.01.2018,17:20,5,,o,,,,,2,,,,,,,2,,,,21,nrw,21,ms,,701,,14,,,,1/3,,27,,,
B 54,Linksabbieger FR BAB,do,04.01.2018,16:45,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,623,,14,,,,1,1,30,,,
Angelmodder Weg,Haltestelle Agathastraße,do,04.01.2018,18:40,5,,m,,,,,1,,,,,,,,1,,,40,os,,,,799,,49,,,,2,1,25,,,
Weseler Straße,Geiststraße,do,04.01.2018,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,30,,,
Kolde-Ring,Weseler Straße,do,04.01.2018,10:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,17,,Fahrschule,
Althoffstraße,31,do,04.01.2018,07:10,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,,30,,,
Kolde-Ring,21,do,04.01.2018,09:50,5,,m,,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,,,24,,,
Hafenweg,ggü. 18,fr,05.01.2018,23:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,1,21,,,
Wienburgstraße,52,so,07.01.2018,18:55,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,775,,55,,,,2,,19,,,
Hansaring,Schillerstraße,fr,05.01.2018,20:18,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,623,,14,,,,2/3,1,39,,,
Homannstraße,60,sa,06.01.2018,03:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,43,,,
Grevener Straße,91,do,04.01.2018,11:00,5,,m,,,,,2,,,,,,,1,1,,,44,st,21,ms,,641,,26,,,,,,47,,,
Roxeler Straße,349,do,04.01.2018,07:41,5,,m,,,,,2,,,,,,,1,1,,,40,st,21,coe,,551,,36,37,,,1,1,24,,,
Melchersstraße,60,do,04.01.2018,20:48,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,vie,,501,,14,,,,2,1,25,,,
Brock,240,do,04.01.2018,05:30,5,,,o,,,,1,,,,,,,,,1,,33,st,,,,751,,86,,,,,,55,,,
Lublinring,Kanalstraße,mo,08.01.2018,11:39,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,33,,,
Maximilianstraße,29,mo,08.01.2018,15:45,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,04,14,,,,,,64,,,
Josefstraße,3,mo,08.01.2018,15:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,28,,,
Moltkestraße,Ludgeriplatz,mo,08.01.2018,19:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,641,,26,,,,,,64,,,
Roxeler Straße,250m östl. Dingbängerweg,mo,08.01.2018,05:48,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,39,,,
Mauritz-Lindenweg,36,mo,08.01.2018,08:57,5,,o,,,,,2,,,,,,,1,1,,,40,sim,21,ms,,501,,14,,,,,,59,,,
Herwarthstraße,Schorlemerstraße,mo,08.01.2018,09:48,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,631,,26,,,,,,55,,,
Hafenstraße,Höhe Butt's Bierstube,di,09.01.2018,19:14,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2/3,,47,,,
Westfalenstraße,197,mo,08.01.2018,13:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ham,,703,,14,,,,,,36,,,
Westfalenstraße,228,mo,08.01.2018,10:50,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,551,,37,,,,,,47,,AWM,
Kolde-Ring,Scharnhorststraße,mo,08.01.2018,17:24,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,2/3,,29,,,
Hamannplatz,Parkplatz,mo,08.01.2018,17:45,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2,,44,,,
Albersloher Weg,Heidestraße,mo,08.01.2018,16:20,5,,o,,,,,2,,1,n,,,,1,,,,21,ms,71,,,241,,34,,,,,,84,,,
Hafenweg,Soester Straße,mo,08.01.2018,08:40,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ol,,501,,14,,,,,,71,,,
Münzstraße,Hollenbecker Straße,mo,08.01.2018,16:50,5,,m,,,,,1,,,,,,,,,1,,33,st,,,,799,,14,,,,,,58,,Stadt,
Jahnstraße,59,mo,08.01.2018,21:00,5,,m,,,,,2,,,,,,,2,,,,21,her,21,st,,501,,14,,,,2,,33,,,
Münzstraße,37,mo,08.01.2018,16:20,5,,m,,,,,2,,,,,,,1,,1,,21,coe,33,bor,,631,,26,,,,,,23,,,
Marktallee,Unckelstraße,do,04.01.2018,17:15,5,,m,,,,,2,,,,,,,2,,,,21,cie,21,ms,,501,,45,,,,2,1,34,,,
Osttor,Rohrkampstraße,do,04.01.2018,08:45,5,,o,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,594,,14,,,,1,2,80,,,
Weseler Straße,245,do,04.01.2018,11:40,5,,o,,,,,2,,,,,,,1,,1,,33,ms,21,ge,,501,,14,,,,,,57,,,
Hüfferstraße,Himmelreichallee,do,04.01.2018,17:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,re,,623,,14,,,,,,48,,,
Steinfurter Straße,104,do,04.01.2018,22:35,5,,o,,,,,2,,,,,,,2,,,,21,e,21,hsk,,703,,36,,,,2,1,24,,,
Westfalenstraße,120,mo,08.01.2018,19:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2,,51,,,
Grüner Grund,62,sa,06.01.2018,21:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ww,,501,,14,,,,,3,33,,,
Gereonstraße,7,so,07.01.2018,12:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,58,,,
Ostmarkstraße,55,fr,05.01.2018,10:28,5,,m,,,,,1,,,,,,,,1,,,40,lp,,,,711,,36,,,,,,39,,Stadt,
Geiststraße,51,fr,05.01.2018,14:35,5,,m,,,,,2,,,,,,,,2,,,40,ms,40,w,,501,,14,,,,,,64,,,
Hafenstraße,Von-Steuben-Straße,do,04.01.2018,20:00,5,,m,,,,,2,,,,,,,2,,,,21,gt,21,st,,231,,14,,,,2/3,1,25,,,
Augustastraße,18,do,04.01.2018,06:45,5,,m,,,,,2,,,,,,,1,,,1,22,ms,21,st,,501,,14,,,,2/3,1,28,,,
Rosenstraße,2,do,04.01.2018,19:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2,1,52,,,
Eisenbahnstraße,FR Bahnhofstraße,do,04.01.2018,16:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,1,22,,,
Meesenstiege,Hünenburg,di,02.01.2018,13:25,3,,,,,,1,2,,1,n,,,,1,,,,21,coe,71,,,341,,34,,,,,,78,51,,702000-000255-18/0
Osttor,Pfarrer-Ensink-Weg,mi,10.01.2018,07:45,3,,,,,,1,2,,1,j,,,,1,,,,21,hh,72,,,342,,28,,,,2/3,1,46,61,,702000-001650-18/6
Altenroxeler Straße,38,sa,06.01.2018,18:20,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,681,,11,,,,2,,F,,,702000-001051-18/3
Loddenheide,31,mo,01.01.2018,10:05,2,,,,,2,,1,,,,,,,1,,,,21,ms,,,,799,01,49,,,,,1,48,,1.34 °/oo,702000-000052-18/9
Fliednerstraße,44,mo,08.01.2018,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001389-18/4
An der Germaniabrauerei,5,mi,03.01.2018,19:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,2,1,F,,,702000-000803-18/9
Scharnhorststraße,44,fr,05.01.2018,07:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,702,,49,,,,,1,F,,,702000-001037-18/5
Warendorfer Straße,Friedensstraße,mi,03.01.2018,22:15,3,X,,,,,1,2,1,,,,,,1,,,,21,,81,,,222,,40,,,,2/3,1,F,23,,702000-000931-18/6
Kappenberger Damm,3,sa,06.01.2018,20:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,799,,49,,,,,,F,,,702000-001283-18/8
Steinfurter Straße,23,di,09.01.2018,14:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,mtk,,799,,49,,,,,,F,,,702000-001578-18/8
Willy-Brandt-Weg,25,di,09.01.2018,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001588-18/9
Dürerstraße,Kampstraße,do,04.01.2018,18:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,702000-000917-18/8
Moltkestraße,Ludgeriplatz,di,02.01.2018,10:45,3,,,,,,1,2,,1,j,,,,1,,,,21,st,72,,,301,,28,,,,,1,68,64,,702000-000195-18/2
Hohenzollernring,97,fr,05.01.2018,05:40,5,X,,,,,,2,,,,,,,1,,,1,92,,21,vec,,501,,49,,,,,,F,,,702000-000889-18/1
Schiffahrter Damm,Ostmarkstraße,di,09.01.2018,07:30,3,,,,,,1,2,,1,n,,,,1,,,,21,os,71,,,232,,34,,,,2/3,,29,18,,702000-001448-18/3
Corrensstraße,Albert-Schweitzer-Straße,do,11.01.2018,14:30,5,,a,,,,,2,,,,,,,2,,,,21,st,21,st,,399,,49,,,,,,50,,,702000-001986-18/9
Hammer Straße,B 51,mi,03.01.2018,18:23,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,28,,,,,,45,,,
Sentmaringer Weg,87,do,04.01.2018,08:50,5,,z,,,,,2,,,,,,,2,,,,21,gt,21,ms,,501,,14,,,,,,29,,,
Albersloher Weg,An den Loddenbüschen,di,02.01.2018,23:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2/3,1,23,,,
Westfalenstraße,Merkureck,di,02.01.2018,06:10,5,,a,,,,,2,,,,,,,2,,,,21,wl,21,ms,,399,,28,,,,2,1,51,,,
Westfalenstraße,Amelsbürener Straße,mi,03.01.2018,17:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2/3,1,27,,,
Unckelstraße,2,mi,03.01.2018,10:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,711,,36,,,,,1,88,,,
Hogenbergstraße,27,mi,03.01.2018,08:25,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,1,1,60,,,
Rektoratsweg,50,mi,03.01.2018,21:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,44,,,,2,1,46,,,
Warendorfer Straße,5,mi,03.01.2018,18:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2/3,1,28,,,
Schillerstraße,45,mi,03.01.2018,15:35,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,501,,14,,,,,1,26,,,
Weseler Straße,Sentmaringer Weg,mi,03.01.2018,13:00,5,,m,,,,,2,,,,,,,2,,,,21,hsk,21,ms,,631,,26,,,,,1,72,,,
Bahnhofstraße,Wolbecker Straße,mi,03.01.2018,11:55,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,waf,,631,,26,,,,,1,26,,,
Hoyastraße,22,mi,03.01.2018,16:00,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,83,,,,,45,,,
Willy-Brandt-Weg,Albersloher Weg,do,04.01.2018,16:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,231,,14,,,,1,1,19,,,
Albersloher Weg,415,di,02.01.2018,17:20,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,623,,14,,,,2/3,1,19,,,
Goldstraße,ggü. 75a,di,02.01.2018,13:10,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,,1,50,,,
Hafenstraße,Ludgeriplatz,di,02.01.2018,13:10,5,,m,,,,,2,,,,,,,1,1,,,51,h,21,bor,,252,,14,,,,,1,64,,,
Soester Straße,22,di,02.01.2018,15:00,5,,o,,,,,2,,,,,,,1,1,,,40,hh,21,be,,501,,14,,,,,,53,,,
Hammer Straße,315,di,02.01.2018,14:25,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,ms,,602,,14,,,,,,24,,,
Steinfurter Straße,Orleansring,mi,03.01.2018,11:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,623,,14,,,,,1,38,,,
Hansaring,20 - 22,di,09.01.2018,15:10,5,,o,,,,,2,,,,,,,2,,,,21,m,21,ms,,702,,14,,,,,,39,,,
Gittruper Straße,ca. 300m südöstlich Gelmer Straße,di,09.01.2018,17:20,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,56,,,
Josefstraße,Hammer Straße,di,09.01.2018,13:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,52,,,
Domagkstraße,11,di,09.01.2018,15:00,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,501,,14,,,,,,22,,,
Schnorrenburg,Piusallee,di,09.01.2018,13:00,5,,o,,,,,2,,,,,,,2,,,,21,bor,21,st,,711,,36,,,,,,25,,,
Sandfortskamp,20,di,09.01.2018,11:40,5,,o,,,,,2,,,,,,,2,,,,21,re,21,pb,,594,,14,,,,,,31,,,
Gescherweg,100,di,09.01.2018,20:55,5,,m,,,,,1,,,,,,,1,,,,21,row,,,,799,,49,,,,2,,33,,,
Hünenburg,34,di,09.01.2018,07:40,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,501,,14,,,,2,,36,,,
Annenstraße,6,fr,05.01.2018,18:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,mi,,711,,36,,,,2,,33,,,
Münzstraße,7,do,04.01.2018,08:12,5,,m,,,,,2,,1,n,,,,1,,,,71,,21,ms,,371,,37,,,,2,,43,,,
B 54,100m h. AS Nienberge FR ST,di,09.01.2018,04:15,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,47,,,
Am Hörsterfriedhof,Piusallee,di,09.01.2018,17:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,14,,,,2/3,,23,,,
Hohenzollernring,99,di,09.01.2018,20:03,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,701,,14,,,,2,,75,,,
Hammer Straße,295,di,09.01.2018,07:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,1,,55,,,
Dieckmannstraße,Höhe Schule,di,09.01.2018,07:45,5,,o,,,,,2,,,,,,,1,,,1,59,,21,ms,,501,,14,,,,1,,70,,,
Nottebrock,500m v. Haus Nottebrock FR Davertstr.,mo,01.01.2018,21:10,5,,,o,,,,1,,,,,,,1,,,,21,lh,,,,751,,86,,,,2,1,61,,,
Wildenkamp,81,di,09.01.2018,12:00,5,,o,,,,,1,,,,,,,,1,,,44,bn,,,,711,,36,,,,,,35,,,
Westfalenstraße,48,di,09.01.2018,16:45,5,,m,,,,,2,,,,,,,2,,,,21,be,21,ms,,623,,14,,,,2,,44,,,
Engelstraße,65,di,09.01.2018,14:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,63,,,
Südstraße,85,di,02.01.2018,17:10,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,501,,14,,,,2,1,47,,,
Rüschhausweg,FR Havixbeck,di,02.01.2018,18:00,5,,m,,,,,1,,,,,,,1,,,,21,st,,,,141,,49,,,,2,,18,,,
Vogelsang,400m h. A43 FR Albachten,di,02.01.2018,05:20,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,1,37,,,
Osthofstraße,Niederort,mi,03.01.2018,14:30,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,,1,31,,,
Weseler Straße,651,mi,03.01.2018,15:55,5,,m,,,,,2,,,,,,,2,,,,21,eun,21,ms,,703,,45,,,,,1,25,,,
Kleibusch,23,mi,03.01.2018,16:45,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,141,,49,,,,2,1,67,,,
Am Schütthook,1,mi,03.01.2018,17:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2,1,50,,,
Warendorfer Straße,Kaiser-Wilhelm-Ring,mi,03.01.2018,16:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,1,30,,,
Erphostraße,16,mi,03.01.2018,11:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,501,,14,,,,,1,37,,,
Moränenstraße,Parkplatz Hohe Geest,di,02.01.2018,15:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,14,,,,,2,60,,,
Am Max-Klemens-Kanal,Nienberger Straße,di,02.01.2018,04:35,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,86,,,,2,1,49,,,
Alter Steinweg,21,mi,03.01.2018,13:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,lö,,703,,36,,,,,,70,,,
Achtermannstraße,9,mi,03.01.2018,10:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,29,,,
Schmeddingstraße,70,mi,03.01.2018,09:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,k,,703,,36,,,,,,40,,,
Schiffahrter Damm,510,mi,03.01.2018,16:40,5,,m,,,,,2,,,,,,,2,,,,21,plö,21,m,,621,,14,,,,1,1,68,,,
Catharina-Müller-Straße,4-8,mi,03.01.2018,18:15,5,,m,,,,,2,,,,,,,2,,,,21,rs,21,ms,,711,,36,,,,2/3,1,25,,,
Ostmarkstraße,40m h. Schiffahrter Damm,mi,03.01.2018,06:43,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2/3,1,41,,,
Grevener Straße,Ermlandweg,mi,03.01.2018,16:35,5,,o,,,,,1,,,,,,,1,,,,21,st,,,,752,,87,,,,1/3,1,30,,,
Eichsfelderstraße,26,di,09.01.2018,23:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,bi,,711,,36,,,,2,,25,,,
Hammer Straße,455,di,09.01.2018,10:00,5,,z,,,,,2,,,,,,,1,1,,,46,PL,21,ms,,681,,14,,,,,,29,,,
Schorlemerstraße,Engelstraße,di,09.01.2018,15:15,5,,z,,,,,2,,,,,,,1,,1,,21,os,33,st,,651,,14,,,,,,46,,,
Boelckeweg,9,di,09.01.2018,15:17,5,,a,,,,,2,,,,,,,2,,,,21,w,21,mh,,326,,28,,,,,,67,,,
Mondstraße,222,di,02.01.2018,16:15,5,,z,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,601,,14,,,,,,55,,,
Meesenstiege,54,di,09.01.2018,09:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-001531-18/1
Sebastiankirchweg,2,mo,01.01.2018,12:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,aa,,501,,49,,,,,,F,,,702000-001275-18/5
Friedrich-Ebert-Straße,Herdingstraße,sa,06.01.2018,21:39,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,321,,28,,,,2/3,,24,57,,702000-001065-18/0
Marktallee,51,mo,08.01.2018,16:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,799,,49,,,,2/3,,F,,,702000-001407-18/0
Grevener Straße,69,fr,12.01.2018,16:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-002271-18/2
