vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Münzstraße,15,fr,09.11.2018,11:05,3,,,,,,1,2,,1,j,,,,1,,,,71,,21,NL,,601,,14,,,,,1,28,54,,702000-063722-18/3
Meesenstiege,Hünenburg,mi,19.09.2018,07:40,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,341,,28,49,,,,,43,12,,702000-051938-18/2
Westfalenstraße,Merkureck,mo,12.11.2018,18:45,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,be,,601,,14,,,,2/3,1,46,,,702000-064303-18/5
Hammer Straße,130,di,18.09.2018,17:45,3,,,,,,2,2,,2,n/n,,,,,,,,71,,72,,,681,,49,,,49,,,26,83,,702000-051838-18/0
Melchersstraße,Parkplatz Schloßtheater,do,11.10.2018,23:20,5,X,,,,,,2,,,,,,,2,,,,21,coe,21,ms,,703,,49,,,,2/3,,56,,,702000-057387-18/4
Berliner Platz,vor Taxistand,mi,17.10.2018,21:20,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,401,,42,,,,2/3,,46,57,,702000-060187-18/3
Hansaring,Wolbecker Straße,do,18.10.2018,10:40,3,,,,,,1,2,,1,n,,,,1,,,,21,pb,71,,,243,,34,,,,,,26,31,,702000-058845-18/5
Loddenheide,5,do,04.10.2018,10:30,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,49,,,,,,79,,,702000-055692-18/0
Marktallee,49,di,18.09.2018,16:54,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,49,,,,,,82,,,702000-051831-18/7
Schillerstraße,46,sa,13.10.2018,16:10,2,,,,,1,,3,,2,n/n,,,,1,,,,71,,71,,,661,,17,,,,,,18,23,,702000-057755-18/1
Lambertistraße,10,mo,17.09.2018,07:00,5,X,,,,,,2,,,,,,,1,1,,,40,bn,21,da,,501,,49,,,,,,35,,,702000-051830-18/8
Von-Schonebeck-Ring,Hülshoffstraße,mi,07.11.2018,13:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,os,,641,,26,,,,,,41,,,
Könnemannstraße,Schulte-Hermann-Straße,mo,05.11.2018,16:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,,,47,,,
Schiffahrter Damm,Sudmühlenstraße,mo,05.11.2018,14:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,623,,14,,,,,,74,,,
Weseler Straße,Parkplatz BurgerKing,mo,05.11.2018,11:55,5,,m,,,,,2,,,,,,,1,,,1,21,ah,59,si,,703,,14,,,,,,23,,,
Hafenweg,12,mo,05.11.2018,14:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,re,,501,,14,,,,,,34,,,
Königsberger Straße,152,mo,05.11.2018,12:25,5,,m,,,,,2,,,,,,,1,,1,,33,st,21,ms,,501,,14,,,,,,54,,,
Friedrich-Ebert-Straße,165,mi,07.11.2018,08:30,5,X,,,,,,2,,1,n,,,,1,,,,21,,71,,,243,,34,,,,,,F,,,702000-063214-18/0
Dauvemühle,165,do,18.10.2018,10:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-058847-18/3
Wolbecker Straße,22ß,di,13.11.2018,20:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2/3,,55,,,702000-064561-18/7
Willy-Brandt-Weg,10,sa,03.11.2018,14:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,61,,,
Warendorfer Straße,Lützowstraße,fr,02.11.2018,14:35,4,,,,,,,3,,,,,,,3,,,,21,gt,21,ms,,302,,28,,,,,1,21,,,
Albersloher Weg,Egbert-Snoek-Straße,fr,02.11.2018,12:05,5,,z,,,,,3,,,,,,,1,2,,,46,st,44,lh,,651,,14,,,,,1,51,,,
Geiststraße,Antoniusstraße,sa,03.11.2018,17:40,5,,z,,,,,2,,,,,,,2,,,,21,st,21,ms,,601,,14,,,,2,,34,,,
Hubertistraße,Alkuinstraße,mo,05.11.2018,09:05,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,bor,,592,,14,,,,,,54,,,
